reference,description,decision-date,organisation,notes,entry-date,start-date,end-date
24/00910/ADV,Display of internally illuminated digital panel with static images with a height of 2.215m and a width of 1.301m  as an integral  part of new bus shelter,2024-06-18,local-authority:DNC,,,,
24/00911/ADV,Display of internally illuminated double sided advertising panel following erection of a new bus shelter to replace existing.,2024-07-01,local-authority:DNC,,,,
24/00912/FUL,Erection of a single storey flat roof Sun Lounge extension to the rear and erection of an infill extension to the side.,2024-06-21,local-authority:DNC,,,,
24/00917/FUL,"Erection of single and two storey extensions to the front, side and rear and alterations following demolition of existing outbuilding (Resubmission of 23/01491/FUL approved 02/10/2024)",2024-07-17,local-authority:DNC,,,,
24/00918/TPO,"Application to prune a Sycamore and Oak (with 33 Woodcross Avenue) and Sweet Chestnut (within garden of 35 Woodcross Avenue) identified as T10, T8 and T13  respectively of Doncaster Borough Council Tree Preservation Order (No.204) 1997 Cantley Manor Avenue / Woodcross Ave.
",2024-06-24,local-authority:DNC,,,,
24/00922/ADV,Display of illuminated totem sign with a height of 12m and a width of 1.865m,2024-12-17,local-authority:DNC,,,,
24/00926/FUL,Installation of air source heat pump to the side.,2024-07-05,local-authority:DNC,,,,
24/00929/FUL,"Erection of a single storey rear extension, new side door & alterations to front porch.",2024-07-05,local-authority:DNC,,,,
24/00933/FUL,Installation of 2 no. externally mounted condensing units within associated plant housing structure (retrospective),2024-07-15,local-authority:DNC,,,,
24/00934/FUL,Erection of a detached double garage.,2024-07-01,local-authority:DNC,,,,
24/00936/FUL,"Erection of a flat roof rear single storey extension to dwelling, following demolition of existing conservatory, erection of new rear/side extension and new front porch",2024-06-28,local-authority:DNC,,,,
24/00940/FUL,Erection of 2 pairs of semi detached dwellings and 1 detached dwelling and detached garage,2024-12-13,local-authority:DNC,,,,
24/00942/FUL,Application to vary condition 3 of permission 22/00140/FUL - to change the opening hours to 11.00 hours to 23.00 hours,2024-06-27,local-authority:DNC,,,,
24/00949/FUL,"Erection of a two storey side extension, and part two, part single storey rear extension following demolition of existing garage outbuilding.",2024-07-18,local-authority:DNC,,,,
24/00953/FUL,Retention of a temporary building for permanent use for electrical testing works previously granted under 21/01578/FUL,2024-07-08,local-authority:DNC,,,,
24/00956/TPO,To remove one Ash Tree that has Ash Die Back. This Tree  (A10) forms part of TPO 74/16/DRDC/10 - Doncaster Rural District Council Tree Preservation Order (No.10) 1970 Norton.,2024-08-01,local-authority:DNC,,,,
24/00957/FUL,Installation of 16no. roof mounted solar PV panels,2024-07-18,local-authority:DNC,,,,
24/00958/FUL,Erection of a two storey side extension.,2024-07-01,local-authority:DNC,,,,
24/00963/FUL,Erection of workshop building,2024-07-29,local-authority:DNC,,,,
24/00967/FUL,Erection of a ground floor extension to the side and rear (resubmission of 24/00571/FUL).,2024-07-01,local-authority:DNC,,,,
24/00968/FUL,"Formation of first floor to dwelling, together with erection of garage / store to rear following the demolition of the existing garage (being amendment to application granted under Ref 21/03667/FUL) without compliance with condition 2 of planning application 23/00632/FUL granted 12/05/2023 with alteration to front of dwelling replacing existing bay windows with front ground floor extension.",2024-07-05,local-authority:DNC,,,,
24/00969/FUL,Demolition of existing store / workshop and erection of a dwelling,2024-07-29,local-authority:DNC,,,,
24/00972/FUL,Erection of a part two storey and part single storey extension to rear of dwelling,2024-07-18,local-authority:DNC,,,,
24/00976/FUL,Erection of ground floor extension to side.,2024-07-01,local-authority:DNC,,,,
24/00979/FUL,"Extension of existing flood wall, erection of greenhouse and installation of 2 air source heat pumps",2024-07-23,local-authority:DNC,,,,
24/00980/LBC,"Listed building consent for the extension of existing flood wall, erection of a greenhouse and installation of 2 air source heat pumps",2024-07-23,local-authority:DNC,,,,
24/00982/FUL,Application to vary condition 2 from permission 19/01201/FUL - To change the approved plans to reconfigure the parking spaces and change the amenity space,2024-07-29,local-authority:DNC,,,,
24/00983/FUL,"Change of use of Land (Temporary) to Class E (Children's Nursery) for siting of modular building and the formation of car parking, fencing and landscaping",2024-08-21,local-authority:DNC,,,,
24/00987/FUL,Erection of detached dwelling following demolition of existing detached dwelling,2024-08-22,local-authority:DNC,,,,
24/00989/TPO,"Consent for crown lift to 4 metres above ground level and targeted reduction of branches to north and north west of crown to clear properties and garage by 2-3 metres on one Sycamore. The tree is subject to T1 of Doncaster Borough Council Tree Preservation Order (No.297) 2007 Land to Rear 9-15 Park Drive, Sprotbrough.",2024-07-15,local-authority:DNC,,,,
24/00990/FUL,Erection of a two storey extension to the side.,2024-07-29,local-authority:DNC,,,,
24/00994/FUL,Erection of a single storey extension to front,2024-06-28,local-authority:DNC,,,,
24/00998/FUL,AMENDED PLANS: Erection of single storey rear extension.,2024-07-30,local-authority:DNC,,,,
24/01000/FUL,"Erection of a single storey side extension, following the demolition of the existing Conservatory. Alterations to and the use of the Outbuilding as a residential annexe.",2024-07-22,local-authority:DNC,,,,
24/01005/FUL,Demolition of damaged and derelict building to the side of canal depot in a conservation area,2024-07-30,local-authority:DNC,,,,
24/01006/FUL,Temporary erection of mobile offices and cafe (Class E) together with associated external works,2024-08-22,local-authority:DNC,,,,
24/01010/FUL,Erection of 2 storey extension to the front.,2024-07-01,local-authority:DNC,,,,
24/01015/FUL,"Erection of single storey rear extension, demolition of detached garage and alterations to primary elevation windows.",2024-07-23,local-authority:DNC,,,,
24/01016/FUL,Erection of two storey rear extension,2024-07-29,local-authority:DNC,,,,
24/01017/TPO,"Application to fell a Robinia, identified as being within G7 of the Doncaster Borough Council Tree Preservation Order (No.190) 1998 Doncaster College Annex, Ellers Road",2024-06-24,local-authority:DNC,,,,
24/01021/ADV,"Display of a heritage information display board (height 1.2m, width 1.189m, depth 0.921m.)",2024-07-15,local-authority:DNC,,,,
24/01022/FUL,"Formation of a levelled platform, laying of hardstanding, erection of gabion wall, erection of post and rail timber fence (Retrospective)",2024-07-05,local-authority:DNC,,,,
24/01026/FUL,"AMENDED PLANS: Erection of extensions to the front, side and rear including associated works.",2024-07-18,local-authority:DNC,,,,
24/01029/FULM,"Application to vary conditions 3, 8, 10, 11, 13, 14 and 15 and remove condition 12 of planning application 23/00619/FULM - to allow the temporary delivery hours to be made permanent and to change approved conditions to compliance conditions",2024-07-29,local-authority:DNC,,,,
24/01032/FUL,"Erection of a two storey side extension to the south west elevation of property replacing a single storey extension in the same location (being variation of condition 2 (approved plans) of planning application 24/00693/FUL granted on 23/05/2024, correct and updated proposed plan 4014-03A.",2024-07-05,local-authority:DNC,,,,
24/01033/FUL,Proposed Enlargement of the Existing Detached Garage,2024-07-23,local-authority:DNC,,,,
24/01039/FUL,Erection of single storey rear and side extensions (wrap around). Demolition of the existing single garage and construction of a new double garage with office within roof and an extension to the drop kerb.,2024-07-29,local-authority:DNC,,,,
24/01051/FUL,Erection of side extension as well as external alterations including raising of roof height and installation of dormer windows to front elevation and integral double garage to side,2024-11-14,local-authority:DNC,,,,
24/01054/FUL,Installation of 1 no. residential static caravan (10.1m length x 4m width x 3.6m height) for occupation ancillary to bowling club,2024-08-19,local-authority:DNC,,,,
24/01058/TPO,T1 Beech tree - consent sought to remove the tree to ground level and replant with a Beech tree of a 14 - 16cm stem. (AMENDED PROPOSAL),2024-09-30,local-authority:DNC,,,,
24/01059/FUL,Conversion and alterations of existing out building to short term let accommodation (Use Class C1),2024-09-30,local-authority:DNC,,,,
24/01061/FUL,"Removal of UPVC conservatory roof to the rear to be replaced with a traditional tiled roof, including the installation of patio/bi-fold doors.",2024-07-08,local-authority:DNC,,,,
24/01063/FUL,"Conversion of a stables block and agricultural barn, with erection of link extension, to create 1 no. residential dwelling (C3) with associated landscaping and external works.",2024-10-10,local-authority:DNC,,,,
24/01064/FUL,Erection of two storey extension to side/rear,2024-08-15,local-authority:DNC,,,,
24/01065/FUL,Erection of two storey extension to side including installation of flat roof dormer window to rear elevation and erection of detached garage.,2024-07-23,local-authority:DNC,,,,
24/01081/FUL,"Installation of a Chemical Dosing Kiosk including creation of an area of hard standing and associated emergency shower unit (being resubmission of application 23/01366/FUL, refused on 03.10.2023)",2024-12-06,local-authority:DNC,,,,
24/01084/FUL,AMENDED PLANS: Erection of a two storey property with attached double garage and attached workshop to the rear following demolition of existing.,2024-12-03,local-authority:DNC,,,,
